enquiry_id,enquiry_date,grade,subject,converted_to_registration,in_scope_grade
ENQ0001,2026-05-06,12,Physical Sciences,Yes,True
ENQ0002,2026-05-15,11,Mathematics,Yes,True
ENQ0003,2026-05-28,12,Physical Sciences,No,True
ENQ0004,2026-07-30,12,Physical Sciences,Yes,True
ENQ0005,2026-05-17,11,Mathematics,No,True
ENQ0006,2026-05-01,12,Accounting,No,True
ENQ0007,2026-05-16,11,Life Sciences,No,True
ENQ0008,2026-06-04,12,Mathematics,No,True
ENQ0009,2026-05-29,11,Mathematics,No,True
ENQ0010,2026-06-27,12,Physical Sciences,No,True
ENQ0011,2026-07-18,10,Mathematics,Yes,True
ENQ0012,2026-06-06,12,Mathematics,No,True
ENQ0013,2026-06-26,11,Mathematics,No,True
ENQ0014,2026-05-22,11,Mathematics,No,True
ENQ0015,2026-06-25,10,Physical Sciences,No,True
ENQ0016,2026-06-16,12,Mathematics,Yes,True
ENQ0017,2026-06-14,11,Mathematics,No,True
ENQ0018,2026-07-01,10,Life Sciences,Yes,True
ENQ0019,2026-05-05,10,Mathematics,Yes,True
ENQ0020,2026-06-01,10,Physical Sciences,Yes,True
ENQ0021,2026-05-26,11,Mathematics,Yes,True
ENQ0022,2026-07-14,10,Accounting,No,True
ENQ0023,2026-06-23,12,Mathematics,Yes,True
ENQ0024,2026-06-16,11,Mathematics,No,True
ENQ0025,2026-05-30,11,Mathematics,No,True
ENQ0026,2026-07-22,11,Physical Sciences,Yes,True
ENQ0027,2026-05-28,12,Physical Sciences,No,True
ENQ0028,2026-07-28,12,Mathematics,Yes,True
ENQ0029,2026-07-15,12,Mathematics,No,True
ENQ0030,2026-05-26,11,Mathematics,Yes,True
ENQ0031,2026-05-21,12,Mathematics,No,True
ENQ0032,2026-05-20,10,Mathematics,No,True
ENQ0033,2026-05-17,11,Mathematics,Yes,True
ENQ0034,2026-05-08,10,Mathematics,Yes,True
ENQ0035,2026-06-19,10,Mathematics,No,True
ENQ0036,2026-06-11,10,Life Sciences,No,True
ENQ0037,2026-07-10,10,Mathematics,No,True
ENQ0038,2026-07-10,11,Physical Sciences,No,True
ENQ0039,2026-05-10,11,Mathematics,Yes,True
ENQ0040,2026-06-11,11,Mathematics,No,True
ENQ0041,2026-05-22,11,Physical Sciences,No,True
