learner_id,gender,grade,registration_date,in_scope_grade
LND1000,Female,12,2026-06-13,True
LND1001,Male,10,2026-01-29,True
LND1002,Non-binary,10,2026-01-07,True
LND1003,Non-binary,12,2026-03-12,True
LND1004,Female,11,2026-03-04,True
LND1005,Non-binary,12,2026-02-27,True
LND1006,Female,12,2026-02-05,True
LND1007,Male,11,2026-01-27,True
LND1008,Female,10,2026-06-23,True
LND1009,Female,12,2026-05-20,True
LND1010,Non-binary,10,2026-02-15,True
LND1011,Male,11,2026-06-01,True
LND1012,Not disclosed,10,2026-04-19,True
LND1013,Male,12,2026-01-09,True
LND1014,Female,10,2026-01-08,True
LND1015,Non-binary,11,2026-01-24,True
LND1016,Male,11,2026-02-25,True
LND1017,Male,10,2026-03-01,True
LND1018,Male,12,2026-05-10,True
LND1019,Male,11,2026-06-04,True
LND1020,Non-binary,12,,True
LND1021,Male,12,2026-05-24,True
LND1022,Male,10,2026-05-21,True
LND1023,Male,12,2026-06-16,True
LND1024,Female,10,2026-06-29,True
LND1025,Male,11,2026-05-20,True
LND1026,Non-binary,12,2026-04-18,True
LND1027,Female,12,2026-02-26,True
LND1028,Female,12,2026-04-25,True
LND1029,Female,12,2026-05-31,True
LND1030,Not disclosed,12,2026-03-13,True
LND1031,Non-binary,11,2026-01-02,True
LND1032,Male,12,2026-02-10,True
LND1033,Female,11,2026-06-28,True
LND1034,Male,12,2026-04-19,True
LND1035,Male,11,2026-03-29,True
LND1036,Female,11,2026-03-13,True
LND1037,Female,12,,True
LND1038,Not disclosed,11,2026-02-25,True
LND1039,Female,12,2026-03-28,True
LND1040,Male,10,2026-01-27,True
LND1041,Male,10,2026-01-24,True
LND1043,Female,12,2026-01-25,True
LND1044,Male,12,2026-04-02,True
LND1045,Male,10,2026-07-03,True
LND1046,Non-binary,10,2026-06-04,True
LND1047,Male,12,2026-03-09,True
LND1048,Male,11,2026-01-12,True
LND1049,Female,12,2026-04-28,True
LND9999,Male,12,2026-05-18,True
LND1051,Female,9,2026-02-01,False
LND1052,Male,12,2026-04-07,True
LND1053,Non-binary,10,2026-01-21,True
LND1054,Female,11,2026-05-22,True
LND1055,Non-binary,12,2026-03-17,True
LND1056,Female,11,2026-06-10,True
LND1057,Male,11,2026-06-08,True
LND1058,Female,11,2026-04-03,True
LND1059,Female,12,2026-05-28,True
LND1060,Male,12,2026-02-19,True
LND1061,Not disclosed,12,2026-01-18,True
LND1062,Female,12,2026-01-12,True
LND1063,Non-binary,10,,True
LND1064,Male,12,2026-02-28,True
LND1065,Male,12,2026-03-16,True
LND1066,Male,10,2026-01-21,True
LND1067,Male,11,2026-03-01,True
LND1068,Male,12,2026-05-21,True
LND1069,Male,10,2026-04-08,True
LND1070,Female,10,2026-03-13,True
LND1071,Female,12,2026-04-27,True
LND1072,Female,11,2026-06-12,True
LND1073,Male,12,2026-04-04,True
LND1074,Female,12,2026-02-11,True
LND1075,Female,12,2026-04-05,True
LND1076,Non-binary,11,2026-04-01,True
LND1077,Female,12,2026-02-23,True
LND1078,Male,11,2026-06-21,True
LND1079,Male,12,2026-03-10,True
LND1080,Non-binary,12,2026-06-29,True
LND1081,Female,11,2026-06-24,True
LND1082,Male,12,2026-06-15,True
LND1083,Male,10,2026-01-19,True
LND1084,Male,10,2026-06-05,True
LND1085,Male,11,2026-06-12,True
LND1086,Male,12,2026-02-13,True
LND1087,Female,10,2026-05-17,True
LND1088,Male,10,2026-03-04,True
LND1089,Female,12,2026-02-11,True
LND1090,Female,11,2026-04-29,True
LND1091,Male,12,2026-05-21,True
LND1092,Not disclosed,11,2026-03-11,True
LND1093,Female,11,2026-06-13,True
LND1094,Female,10,2026-06-26,True
LND1095,Non-binary,11,2026-05-23,True
LND1096,Female,12,2026-02-26,True
LND1097,Female,10,2026-06-25,True
LND1098,Female,10,2026-03-25,True
LND1099,Female,10,2026-01-15,True
LND1100,Female,11,,True
LND1101,Female,12,2026-01-09,True
LND1102,Female,10,2026-03-22,True
LND1103,Not disclosed,12,2026-04-13,True
LND1104,Female,12,2026-03-10,True
LND1105,Male,12,2026-01-17,True
LND1106,Male,11,2026-02-24,True
LND1107,Male,11,2026-05-26,True
LND1108,Male,11,2026-03-22,True
LND1109,Female,10,2026-02-24,True
LND1110,Male,12,2026-06-17,True
LND1111,Female,12,2026-05-08,True
LND1112,Male,10,2026-04-12,True
LND1113,Non-binary,11,2026-06-14,True
LND1114,Female,11,2026-05-18,True
LND1115,Male,11,2026-02-06,True
LND1116,Male,10,2026-03-09,True
LND1117,Female,12,2026-02-05,True
LND1119,Female,11,2026-05-24,True
LND1120,Female,12,2026-05-18,True
LND1121,Male,11,2026-03-09,True
LND1122,Female,11,2026-05-30,True
LND1123,Not disclosed,11,2026-04-20,True
LND1124,Male,11,2026-05-30,True
LND1125,Male,11,2026-04-13,True
LND1126,Female,10,2026-04-03,True
LND1127,Female,10,2026-02-26,True
LND1128,Female,12,2026-02-05,True
LND1129,Female,11,2026-05-11,True
LND1130,Female,11,2026-05-07,True
LND1131,Female,12,2026-01-24,True
LND1132,Male,12,2026-01-13,True
LND1133,Female,10,2026-01-29,True
LND1134,Female,11,2026-02-09,True
LND1135,Female,10,2026-06-10,True
LND1136,Non-binary,11,2026-02-10,True
LND1137,Female,11,2026-05-21,True
LND1138,Non-binary,11,2026-04-19,True
LND1139,Female,11,2026-06-02,True
LND1140,Male,12,2026-01-17,True
LND1141,Female,12,,True
LND1142,Male,11,2026-04-08,True
LND1143,Male,11,2026-06-02,True
LND1144,Non-binary,10,2026-04-30,True
LND1145,Male,11,2026-05-16,True
LND1146,Female,11,2026-03-06,True
LND1147,Male,12,2026-05-22,True
LND1148,Male,12,2026-01-03,True
LND1149,Female,10,2026-06-24,True
